post_id,cascade_size,max_depth,unique_users,lifespan_sec,branching,post_controversial
2qnurf,49,1,4,111555.0,,0
2qtmj3,38,1,28,138981.0,,0
2qux5j,47,1,16,143832.0,,0
2qviho,83,1,34,149309.0,,0
2qw1p4,97,1,58,105019.0,,0
2qw3rt,102,1,78,152400.0,,0
2qwoyk,31,1,15,59734.0,,0
2qwwic,114,1,49,98146.0,,0
2qwyhq,245,1,177,150127.0,,1
2qx1nh,55,1,20,151242.0,,0
2qx3bh,108,1,73,96028.0,,0
2qx47j,89,1,63,149408.0,,0
2qx4x2,315,1,184,148625.0,,1
2qx68e,39,1,25,141137.0,,0
2qx844,46,1,39,144216.0,,0
2qx890,158,1,53,97302.0,,1
2qx8cd,579,1,326,155267.0,,1
2qx9hv,147,1,95,144711.0,,0
2qxboo,134,1,62,155282.0,,0
2qxd2s,31,1,12,127051.0,,0
2qxdlh,52,1,43,137571.0,,0
2qxelx,880,1,523,152514.0,,1
2qxiaz,53,1,32,93524.0,,0
2qxikn,98,1,51,155980.0,,0
2qxjwj,47,1,29,80408.0,,0
2qxkme,164,1,122,154577.0,,0
2qxljz,384,1,112,151778.0,,1
2qxrog,39,1,24,63857.0,,0
2qy1q2,44,1,24,130819.0,,0
2qy3wy,116,1,37,88714.0,,0
2qy4ar,487,1,196,155881.0,,1
2qy6yz,55,1,39,117416.0,,0
2qyb7u,38,1,9,73409.0,,0
2qybud,31,1,22,72911.0,,0
2qycxl,272,1,163,131793.0,,0
2qygtn,1555,1,672,154832.0,,1
2qyo3v,73,1,52,134108.0,,0
2qyso9,154,1,122,89421.0,,0
2qyu6v,103,1,54,148754.0,,0
2qyuhl,36,1,13,33131.0,,0
2qywbs,197,1,106,134385.0,,0
2qz485,50,1,15,11801.0,,0
2qz8xe,77,1,32,96420.0,,0
2qz9e5,60,1,45,143433.0,,0
2qz9ka,200,1,139,109503.0,,0
2qz9q7,149,1,118,88244.0,,0
2qzbt3,33,1,26,75212.0,,0
2qzdj6,33,1,29,69631.0,,0
2qzkxs,302,1,134,133434.0,,0
2qzncs,197,1,112,122237.0,,0
2qzpuo,40,1,17,62357.0,,0
2qzq0k,74,1,57,98135.0,,0
2qzqxm,4181,1,2180,127082.0,,1
2qzrtd,262,1,80,126472.0,,1
2qzs1f,536,1,421,120277.0,,0
2qzyv6,262,1,146,114692.0,,0
2qzz98,184,1,89,109278.0,,0
2r02uc,716,1,351,107077.0,,1
2r03w5,196,1,128,112109.0,,0
2r04m1,60,1,29,105371.0,,0
2r05cr,83,1,38,106506.0,,0
2r05jv,1220,1,800,103821.0,,1
2r06u7,313,1,148,87389.0,,0
2r07il,110,1,61,95118.0,,0
2r08js,125,1,85,100982.0,,0
2r08my,43,1,18,100066.0,,0
2r08pc,98,1,56,104152.0,,0
2r0922,493,1,195,102419.0,,1
2r09ti,338,1,190,104630.0,,0
2r0a0p,130,1,83,60417.0,,0
2r0abk,60,1,27,75234.0,,0
2r0at9,114,1,83,86212.0,,0
2r0f8w,125,1,88,90442.0,,0
2r0iwc,620,1,265,94296.0,,1
2r0iy2,1182,1,689,96139.0,,0
2r0jy3,157,1,72,95573.0,,0
2r0nhp,1482,1,728,91206.0,,1
2r0nvr,5273,1,2383,93912.0,,1
2r0pif,41,1,19,13669.0,,0
2r0qke,63,1,39,24743.0,,0
