post_id,cascade_size,num_communities_known,frac_communities_known,post_controversial
2qnurf,49,1,0.25,0
2qtmj3,38,3,0.10714285714285714,0
2qux5j,47,6,0.375,0
2qviho,83,4,0.11764705882352941,0
2qw1p4,97,5,0.08620689655172414,0
2qw3rt,102,9,0.11538461538461539,0
2qwoyk,31,3,0.2,0
2qwwic,114,10,0.20408163265306123,0
2qwyhq,245,8,0.04519774011299435,1
2qx1nh,55,4,0.2,0
2qx3bh,108,11,0.1506849315068493,0
2qx47j,89,3,0.047619047619047616,0
2qx4x2,315,10,0.05434782608695652,1
2qx68e,39,2,0.08,0
2qx844,46,6,0.15384615384615385,0
2qx890,158,7,0.1320754716981132,1
2qx8cd,579,6,0.018404907975460124,1
2qx9hv,147,9,0.09473684210526316,0
2qxboo,134,7,0.11290322580645161,0
2qxd2s,31,4,0.3333333333333333,0
2qxdlh,52,4,0.09302325581395349,0
2qxelx,880,9,0.017208413001912046,1
2qxiaz,53,6,0.1875,0
2qxikn,98,7,0.13725490196078433,0
2qxjwj,47,6,0.20689655172413793,0
2qxkme,164,9,0.07377049180327869,0
2qxljz,384,11,0.09821428571428571,1
2qxrog,39,6,0.25,0
2qy1q2,44,8,0.3333333333333333,0
2qy3wy,116,6,0.16216216216216217,0
2qy4ar,487,11,0.05612244897959184,1
2qy6yz,55,5,0.1282051282051282,0
2qyb7u,38,2,0.2222222222222222,0
2qybud,31,5,0.22727272727272727,0
2qycxl,272,9,0.05521472392638037,0
2qygtn,1555,10,0.01488095238095238,1
2qyo3v,73,9,0.17307692307692307,0
2qyso9,154,8,0.06557377049180328,0
2qyu6v,103,8,0.14814814814814814,0
2qyuhl,36,3,0.23076923076923078,0
2qywbs,197,7,0.0660377358490566,0
2qz485,50,2,0.13333333333333333,0
2qz8xe,77,7,0.21875,0
2qz9e5,60,9,0.2,0
2qz9ka,200,9,0.06474820143884892,0
2qz9q7,149,10,0.0847457627118644,0
2qzbt3,33,6,0.23076923076923078,0
2qzdj6,33,4,0.13793103448275862,0
2qzkxs,302,11,0.08208955223880597,0
2qzncs,197,11,0.09821428571428571,0
2qzpuo,40,4,0.23529411764705882,0
2qzq0k,74,5,0.08771929824561403,0
2qzqxm,4181,17,0.007798165137614679,1
2qzrtd,262,7,0.0875,1
2qzs1f,536,10,0.023752969121140142,0
2qzyv6,262,10,0.0684931506849315,0
2qzz98,184,10,0.11235955056179775,0
2r02uc,716,5,0.014245014245014245,1
2r03w5,196,10,0.078125,0
2r04m1,60,7,0.2413793103448276,0
2r05cr,83,6,0.15789473684210525,0
2r05jv,1220,11,0.01375,1
2r06u7,313,8,0.05405405405405406,0
2r07il,110,8,0.13114754098360656,0
2r08js,125,10,0.11764705882352941,0
2r08my,43,2,0.1111111111111111,0
2r08pc,98,10,0.17857142857142858,0
2r0922,493,8,0.041025641025641026,1
2r09ti,338,8,0.042105263157894736,0
2r0a0p,130,8,0.0963855421686747,0
2r0abk,60,7,0.25925925925925924,0
2r0at9,114,12,0.14457831325301204,0
2r0f8w,125,10,0.11363636363636363,0
2r0iwc,620,10,0.03773584905660377,1
2r0iy2,1182,13,0.018867924528301886,0
2r0jy3,157,4,0.05555555555555555,0
2r0nhp,1482,12,0.016483516483516484,1
2r0nvr,5273,15,0.00629458665547629,1
2r0pif,41,7,0.3684210526315789,0
2r0qke,63,8,0.20512820512820512,0
